DX,BODY_SYSTEM,ICD
01714,pulmonary_respiratory,9
01715,pulmonary_respiratory,9
01716,pulmonary_respiratory,9
0172,pulmonary_respiratory,9
01720,pulmonary_respiratory,9
01721,pulmonary_respiratory,9
01722,pulmonary_respiratory,9
01723,pulmonary_respiratory,9
01724,pulmonary_respiratory,9
01725,pulmonary_respiratory,9
01726,pulmonary_respiratory,9
0173,pulmonary_respiratory,9
01730,pulmonary_respiratory,9
01731,pulmonary_respiratory,9
01732,pulmonary_respiratory,9
01733,pulmonary_respiratory,9
01734,pulmonary_respiratory,9
01735,pulmonary_respiratory,9
01736,pulmonary_respiratory,9
0174,pulmonary_respiratory,9
01740,pulmonary_respiratory,9
01741,pulmonary_respiratory,9
01742,pulmonary_respiratory,9
01743,pulmonary_respiratory,9
01744,pulmonary_respiratory,9
01745,pulmonary_respiratory,9
01746,pulmonary_respiratory,9
0175,pulmonary_respiratory,9
01750,pulmonary_respiratory,9
01751,pulmonary_respiratory,9
01752,pulmonary_respiratory,9
01753,pulmonary_respiratory,9
01754,pulmonary_respiratory,9
01755,pulmonary_respiratory,9
01756,pulmonary_respiratory,9
0176,pulmonary_respiratory,9
01760,pulmonary_respiratory,9
01761,pulmonary_respiratory,9
01762,pulmonary_respiratory,9
01763,pulmonary_respiratory,9
01764,pulmonary_respiratory,9
01765,pulmonary_respiratory,9
01766,pulmonary_respiratory,9
0177,pulmonary_respiratory,9
01770,pulmonary_respiratory,9
01771,pulmonary_respiratory,9
01772,pulmonary_respiratory,9
01773,pulmonary_respiratory,9
01774,pulmonary_respiratory,9
01775,pulmonary_respiratory,9
01776,pulmonary_respiratory,9
0178,pulmonary_respiratory,9
01780,pulmonary_respiratory,9
01781,pulmonary_respiratory,9
01782,pulmonary_respiratory,9
01783,pulmonary_respiratory,9
01784,pulmonary_respiratory,9
01785,pulmonary_respiratory,9
01786,pulmonary_respiratory,9
0179,pulmonary_respiratory,9
01790,pulmonary_respiratory,9
01791,pulmonary_respiratory,9
01792,pulmonary_respiratory,9
01793,pulmonary_respiratory,9
01794,pulmonary_respiratory,9
01795,pulmonary_respiratory,9
01796,pulmonary_respiratory,9
018,pulmonary_respiratory,9
0180,pulmonary_respiratory,9
01800,pulmonary_respiratory,9
01801,pulmonary_respiratory,9
01802,pulmonary_respiratory,9
01803,pulmonary_respiratory,9
01804,pulmonary_respiratory,9
01805,pulmonary_respiratory,9
01806,pulmonary_respiratory,9
0188,pulmonary_respiratory,9
01880,pulmonary_respiratory,9
01881,pulmonary_respiratory,9
01882,pulmonary_respiratory,9
01883,pulmonary_respiratory,9
01884,pulmonary_respiratory,9
01885,pulmonary_respiratory,9
01886,pulmonary_respiratory,9
0189,pulmonary_respiratory,9
01890,pulmonary_respiratory,9
01891,pulmonary_respiratory,9
01892,pulmonary_respiratory,9
01893,pulmonary_respiratory,9
01894,pulmonary_respiratory,9
01895,pulmonary_respiratory,9
01896,pulmonary_respiratory,9
030,neurological,9
0300,neurological,9
0301,neurological,9
0302,neurological,9
0303,neurological,9
0308,neurological,9
0309,neurological,9
0402,gastrointestinal,9
042,immunological,9
046,neurological,9
0460,neurological,9
0461,neurological,9
04611,neurological,9
04619,neurological,9
0462,neurological,9
0463,neurological,9
0467,neurological,9
04671,neurological,9
04672,neurological,9
04679,neurological,9
0468,neurological,9
0469,neurological,9
0582,neurological,9
05821,neurological,9
05829,neurological,9
0785,neurological,9
07953,immunological,9
090,neurological,9
0900,neurological,9
0901,neurological,9
0902,neurological,9
0903,neurological,9
0904,neurological,9
09040,neurological,9
09041,neurological,9
09042,neurological,9
09049,neurological,9
0905,neurological,9
0906,neurological,9
0907,neurological,9
0909,neurological,9
094,neurological,9
0940,neurological,9
0941,neurological,9
0942,neurological,9
0943,neurological,9
0948,neurological,9
09481,neurological,9
09482,neurological,9
09483,neurological,9
09484,neurological,9
09485,neurological,9
09486,neurological,9
09487,neurological,9
09489,neurological,9
0949,neurological,9
095,neurological,9
0950,neurological,9
0951,neurological,9
0952,neurological,9
0953,neurological,9
0954,neurological,9
0955,neurological,9
0956,neurological,9
0957,neurological,9
0958,neurological,9
0959,neurological,9
135,immunological,9
1363,pulmonary_respiratory,9
137,pulmonary_respiratory,9
1370,pulmonary_respiratory,9
1371,pulmonary_respiratory,9
1372,pulmonary_respiratory,9
1373,pulmonary_respiratory,9
1374,pulmonary_respiratory,9
138,neurological,9
139,neurological,9
1390,neurological,9
1391,neurological,9
1398,neurological,9
140,malignancy,9
1400,malignancy,9
1401,malignancy,9
1403,malignancy,9
1404,malignancy,9
1405,malignancy,9
1406,malignancy,9
1408,malignancy,9
1409,malignancy,9
141,malignancy,9
1410,malignancy,9
1411,malignancy,9
1412,malignancy,9
1413,malignancy,9
1414,malignancy,9
1415,malignancy,9
1416,malignancy,9
1418,malignancy,9
1419,malignancy,9
142,malignancy,9
1420,malignancy,9
1421,malignancy,9
1422,malignancy,9
1428,malignancy,9
1429,malignancy,9
143,malignancy,9
1430,malignancy,9
1431,malignancy,9
1438,malignancy,9
1439,malignancy,9
144,malignancy,9
1440,malignancy,9
1441,malignancy,9
1448,malignancy,9
1449,malignancy,9
145,malignancy,9
1450,malignancy,9
1451,malignancy,9
1452,malignancy,9
1453,malignancy,9
1454,malignancy,9
1455,malignancy,9
1456,malignancy,9
1458,malignancy,9
1459,malignancy,9
146,malignancy,9
1460,malignancy,9
1461,malignancy,9
1462,malignancy,9
1463,malignancy,9
1464,malignancy,9
1465,malignancy,9
1466,malignancy,9
1467,malignancy,9
1468,malignancy,9
1469,malignancy,9
147,malignancy,9
1470,malignancy,9
1471,malignancy,9
1472,malignancy,9
1473,malignancy,9
1478,malignancy,9
1479,malignancy,9
148,malignancy,9
1480,malignancy,9
1481,malignancy,9
1482,malignancy,9
1483,malignancy,9
1488,malignancy,9
1489,malignancy,9
149,malignancy,9
1490,malignancy,9
1491,malignancy,9
1498,malignancy,9
1499,malignancy,9
150,malignancy,9
1500,malignancy,9
1501,malignancy,9
1502,malignancy,9
1503,malignancy,9
1504,malignancy,9
1505,malignancy,9
1508,malignancy,9
1509,malignancy,9
151,malignancy,9
1510,malignancy,9
1511,malignancy,9
1512,malignancy,9
1513,malignancy,9
1514,malignancy,9
1515,malignancy,9
1516,malignancy,9
1518,malignancy,9
1519,malignancy,9
152,malignancy,9
1520,malignancy,9
1521,malignancy,9
1522,malignancy,9
1523,malignancy,9
1528,malignancy,9
1529,malignancy,9
153,malignancy,9
1530,malignancy,9
1531,malignancy,9
1532,malignancy,9
1533,malignancy,9
1534,malignancy,9
1535,malignancy,9
1536,malignancy,9
1537,malignancy,9
1538,malignancy,9
1539,malignancy,9
154,malignancy,9
1540,malignancy,9
1541,malignancy,9
1542,malignancy,9
1543,malignancy,9
1548,malignancy,9
155,malignancy,9
1550,malignancy,9
1551,malignancy,9
1552,malignancy,9
156,malignancy,9
1560,malignancy,9
1561,malignancy,9
1562,malignancy,9
1568,malignancy,9
1569,malignancy,9
157,malignancy,9
1570,malignancy,9
1571,malignancy,9
1572,malignancy,9
1573,malignancy,9
1574,malignancy,9
1578,malignancy,9
1579,malignancy,9
158,malignancy,9
1580,malignancy,9
1588,malignancy,9
1589,malignancy,9
159,malignancy,9
1590,malignancy,9
1591,malignancy,9
1598,malignancy,9
1599,malignancy,9
160,malignancy,9
1600,malignancy,9
1601,malignancy,9
1602,malignancy,9
1603,malignancy,9
1604,malignancy,9
1605,malignancy,9
1608,malignancy,9
1609,malignancy,9
161,malignancy,9
1610,malignancy,9
1611,malignancy,9
1612,malignancy,9
1613,malignancy,9
1618,malignancy,9
1619,malignancy,9
162,malignancy,9
1620,malignancy,9
1622,malignancy,9
1623,malignancy,9
1624,malignancy,9
1625,malignancy,9
1628,malignancy,9
1629,malignancy,9
163,malignancy,9
1630,malignancy,9
1631,malignancy,9
1638,malignancy,9
1639,malignancy,9
164,malignancy,9
1640,malignancy,9
1641,malignancy,9
1642,malignancy,9
1643,malignancy,9
1648,malignancy,9
1649,malignancy,9
165,malignancy,9
1650,malignancy,9
1658,malignancy,9
1659,malignancy,9
170,malignancy,9
