HHS,STATE,MSA,MSA_POP,MSA_NAME,NRX
5,Illinois,40420,349431,"Rockford, IL",1.5124314239612795
1,New Hampshire,40484,418366,"Rockingham County-Strafford County, NH",1.2414701852649788
4,Georgia,40660,96317,"Rome, GA",2.269003442340794
9,California,40900,2149127,"Sacramento--Arden-Arcade--Roseville, CA",1.1872058906825285
5,Illinois,41180,2812891,"St. Louis, MO-IL",1.9654755946138036
10,Oregon,41420,390738,"Salem, OR",1.0358542986425354
3,Delaware,41540,125203,"Salisbury, MD",3.159779487179506
8,Utah,41620,1124197,"Salt Lake City, UT",1.370458341369337
6,Texas,41700,2142508,"San Antonio-New Braunfels, TX",2.0589464206473775
9,California,41740,3095313,"San Diego-Carlsbad-San Marcos, CA",1.237887745098035
9,California,41884,1776095,"San Francisco-San Mateo-Redwood City, CA",1.1749741654571837
9,California,41940,1836911,"San Jose-Sunnyvale-Santa Clara, CA",1.305548297067175
4,Georgia,42340,347616,"Savannah, GA",2.476979697802215
3,Pennsylvania,42540,563630,"Scranton--Wilkes-Barre, PA",2.1673770321687984
10,Washington,42644,2644584,"Seattle-Bellevue-Everett, WA",1.131181023127881
3,Maryland,43524,NA,NA,1.4989181251498453
5,Indiana,43780,319222,"South Bend-Mishawaka, IN-MI",2.3824173427991893
4,South Carolina,43900,284307,"Spartanburg, SC",2.5229140798226175
1,Massachusetts,44140,692942,"Springfield, MA",1.3894246684350129
7,Missouri,44180,436712,"Springfield, MO",1.4122604166666632
2,New York,45060,662579,"Syracuse, NY",1.7011870104920808
10,Washington,45104,795225,"Tacoma, WA",0.9721165413533811
4,Florida,45300,2783243,"Tampa-St. Petersburg-Clearwater, FL",1.9437602419078073
5,Ohio,45780,651429,"Toledo, OH",1.9971892168386856
2,New Jersey,45940,366511,"Trenton-Ewing, NJ",1.1572432957636976
9,Arizona,46060,980263,"Tucson, AZ",1.3947897710377646
6,Oklahoma,46140,937478,"Tulsa, OK",2.355336564752655
4,Georgia,46660,139584,"Valdosta, GA",3.5058806896552013
3,Virginia,47260,1671690,"Virginia Beach-Norfolk-Newport News, VA-NC",2.3806774940774087
6,Texas,47380,234906,"Waco, TX",2.9056011148271863
4,Georgia,47580,139911,"Warner Robins, GA",1.975288038823874
5,Michigan,47664,NA,NA,1.6499855861418176
3,Virginia,47894,4376875,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1.5120651209709572
4,Florida,48424,1320134,"West Palm Beach-Boca Raton-Boynton Beach, FL",2.209989637305688
7,Kansas,48620,623061,"Wichita, KS",2.1974610389610376
3,Delaware,48864,705670,"Wilmington, DE-MD-NJ",1.9949270883262793
4,North Carolina,48900,362315,"Wilmington, NC",1.5142177978883862
4,North Carolina,49180,477717,"Winston-Salem, NC",1.9161501710654898
1,Massachusetts,49340,798552,"Worcester, MA",1.3093403585271286
3,Pennsylvania,49620,434972,"York-Hanover, PA",1.1331441509433957
