NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
64308,0.4959964342661966,345,124759,0.5154578026434966,0.5114814973726848,0.5194573380474783,0.007714123737034478,0.007759190730007938,0.49217025639913925,0.49984496520107186,All conditions
65115,0.5024700765420389,350,124759,0.5219262738559943,0.5179250495221097,0.5259507281307174,0.007666263482624746,0.00771077157122288,0.498618008543133,0.5063445085236294,All conditions
65887,0.5087338196210532,355,124759,0.52811420418567,0.5240892856539282,0.532162352477576,0.007621303308719109,0.00766528955256582,0.504856604878318,0.5126334116536314,All conditions
66617,0.5145165608078157,360,124759,0.5339654854559591,0.5299182891501617,0.5380359113539721,0.0075795091930735406,0.007623013113922904,0.5106167778051843,0.5184387272981842,All conditions
67350,0.5203728543688328,365,124759,0.539840813087633,0.5357713699352925,0.5439334856663043,0.007538228036270911,0.007581258177319262,0.5164501651287154,0.5243179353262716,All conditions
68322,0.5286792877797266,370,124759,0.5476318341762919,0.543533076306948,0.5517538212561229,0.007484513524508555,0.00752693109236613,0.5247223805002117,0.5326586203488058,All conditions
69140,0.5354777668705083,375,124759,0.5541884753805336,0.5500652085074691,0.5583349712859763,0.007440188773743954,0.007482104175110284,0.5314937112008489,0.5394842673056889,All conditions
69954,0.5420882820960052,380,124759,0.5607130547695958,0.5565655422471639,0.5648837961502766,0.007396853858050632,0.007438281212116,0.5380785342951794,0.5461204871800281,All conditions
70656,0.5475051715268558,385,124759,0.5663399033336273,0.5621715942221639,0.5705314411555913,0.0073600837358052985,0.007401099229087538,0.5434754876186317,0.5515573116297647,All conditions
71294,0.5525263875714055,390,124759,0.571453762854784,0.5672666425727957,0.5756641117148914,0.007327137476654131,0.007367785696385947,0.5484779507701907,0.5565972835866299,All conditions
71941,0.5577513251321392,395,124759,0.5766397614600951,0.5724336504091231,0.5808691009567389,0.00729417451256193,0.007334456933623223,0.5536829896320127,0.5618421282059922,All conditions
72577,0.5626332635216094,400,124759,0.581737590073662,0.5775128941782783,0.5859855142862516,0.00726220200906857,0.007302131210141813,0.558547307104894,0.5667416854350344,All conditions
73162,0.5673639936573375,405,124759,0.5864266305436883,0.5821849118647275,0.5906915774231717,0.007233161759772303,0.007272771489809904,0.5632601581145436,0.5714903023347533,All conditions
73756,0.5721575976195926,410,124759,0.5911878100978687,0.5869288762394667,0.5954699720397383,0.007204028543310099,0.007243319075135691,0.5680357579550693,0.5763019176604144,All conditions
74354,0.5769156759656887,415,124759,0.5959810514672288,0.5917048563844004,0.6002804745171004,0.007175052079761513,0.007214026417932255,0.5727762759450041,0.5810775608930244,All conditions
74903,0.5813815331099531,420,124759,0.600381535600638,0.59608955468706315,0.6046967443756011,0.007148755681303625,0.0071874441818834435,0.5772253785721283,0.5855601804275588,All conditions
75446,0.5859388073370402,425,124759,0.6047339270112777,0.6004263895946224,0.609064692185957,0.007123029193920218,0.00716143907467354,0.5817651481065277,0.5901349724072713,All conditions
75988,0.5901534449531298,430,124759,0.6090783029681225,0.6047552934254176,0.6134245401667839,0.007097625250543821,0.007135760997365427,0.5859647569605351,0.5943646388880872,All conditions
76533,0.594631036784468,435,124759,0.6134467252863521,0.6091082135170833,0.6178084646100399,0.0070723529695975165,0.007110216982007278,0.5904255962056506,0.5988589924802415,All conditions
77050,0.5989068244235244,440,124759,0.617590714898324,0.6132375482820809,0.6219671089736621,0.007048627045760804,0.007086236839002164,0.594685353583002,0.6031508200258842,All conditions
77557,0.6029320474771047,445,124759,0.6216545499723467,0.6172870596412701,0.6260452676699653,0.0070255905490773304,0.007062954333421796,0.5986960937826137,0.607190528994592,All conditions
78030,0.6066699662060386,450,124759,0.6254458596173422,0.6210650482906429,0.6298498982250514,0.007004301426472899,0.007041438583355043,0.6024206668963434,0.6109417955134445,All conditions
78501,0.6102920770126944,455,124759,0.6292211383547479,0.6248271024168595,0.633638401489245,0.0069832935832030854,0.007020207785846318,0.6060302282674119,0.6145764542033793,All conditions
79101,0.6153170430591541,460,124759,0.634030410631698,0.6296195853831423,0.6384644629704376,0.00695680392390174,0.00699343795563666,0.6110364030395566,0.6196202246228342,All conditions
79665,0.6198547302707775,465,124759,0.6385511265720308,0.6341245773347305,0.6430009028005744,0.006932176693608914,0.00696855121442126,0.6155577877561712,0.6241742197041708,All conditions
80186,0.623924680067354,470,124759,0.6427271779991824,0.6382861529708613,0.6471914299282779,0.006909658063855454,0.006945796104332741,0.6196135738704882,0.6282583336795629,All conditions
80655,0.6276165667123088,475,124759,0.6464864258289983,0.6420324099795589,0.6509636684985234,0.006889573657680346,0.0069255014345952675,0.623292556147164,0.6319631261454507,All conditions
81107,0.6313199974558731,480,124759,0.6501094109443006,0.6456429108498695,0.6545991377817165,0.006870382152972472,0.006906109589914169,0.6269825878125376,0.6356799625446077,All conditions
81559,0.6350524731378597,485,124759,0.6537323960596029,0.6492534464586908,0.6582345723270406,0.006851350228180749,0.006886879546699542,0.6307015062311199,0.6394260030261938,All conditions
82016,0.6387284390401377,490,124759,0.6573954584438798,0.6529039566434987,0.6619101868341245,0.006832267766213337,0.006867598995787867,0.63436447531472,0.6431149698266708,All conditions
82427,0.6418590916990211,495,124759,0.6606898099535905,0.6561870492487013,0.665215797179943,0.006815241641467861,0.006850396597868475,0.6374846668893192,0.6462560810371071,All conditions
82846,0.6454582449658123,500,124759,0.6640482850936605,0.65953407519028,0.6685857214492974,0.006798014549113515,0.006832991602405656,0.6410704104256895,0.6498686557333672,All conditions
83239,0.6486531498562423,505,124759,0.6671983584350628,0.6626734360691817,0.6717465071887626,0.006781974668664435,0.006816786486656894,0.6442540006251679,0.6530748798827098,All conditions
83659,0.6518665057938251,510,124759,0.6705648490289278,0.6660285061469172,0.6751244182303949,0.006764957764457545,0.006799594711935855,0.6474566564140654,0.6562989338395089,All conditions
84021,0.6549236438040902,515,124759,0.6734664433026876,0.6689202800054214,0.6780358328609005,0.006750393196982115,0.006784880826139776,0.6505026516944123,0.6593672226775221,All conditions
84373,0.6580256236652193,520,124759,0.6762878830384982,0.6717321908744894,0.6808668014069215,0.006736320845407509,0.0067706645102831465,0.653592951939711,0.6624808944022264,All conditions
84748,0.6612142655828245,525,124759,0.6792936782115919,0.6747278563979715,0.6838827261697885,0.006721425445384786,0.006755617055466187,0.6567699631932846,0.6656811759527134,All conditions
85101,0.6639297477843547,530,124759,0.6821231334011975,0.6775477966685148,0.68672169622249,0.006707493865321809,0.006741543566134814,0.6594764430740865,0.6684056591038958,All conditions
85480,0.6669246846012703,535,124759,0.6851609903894709,0.6805754598639462,0.6897697469439035,0.006692632227818601,0.006726530872419948,0.6624612029635801,0.6714107740818197,All conditions
85813,0.6695910204298454,540,124759,0.6878301365031781,0.6832356680613665,0.6924478309217682,0.006679655627142519,0.006713422651216912,0.665118383002347,0.6740862679534506,All conditions
86150,0.6725450640446989,545,124759,0.690531344432065,0.685927848349821,0.69515806643864,0.006666599741435589,0.006700234600328372,0.6680614752946348,0.6770512737530913,All conditions
86535,0.6757695585531164,550,124759,0.6936172941431079,0.6890035061660212,0.6982543079849829,0.006651777595578157,0.006685262724891441,0.671274489743759,0.6802872555935279,All conditions
86940,0.6791429819453709,555,124759,0.6968635529300491,0.6922389630936318,0.7015113685690463,0.006636291734547856,0.006669620787964691,0.6746359909877107,0.6836726080957541,All conditions
87300,0.6822383471710334,560,124759,0.6997491162962192,0.6951149459097159,0.7044065124303693,0.006622616990260722,0.006655808525778249,0.6777201439016511,0.6867791949787472,All conditions
87640,0.6848745165616799,565,124759,0.7024743705864908,0.6978311700242219,0.7071407968448367,0.006609779312506849,0.006642842007815795,0.6803476471504474,0.6894240297703783,All conditions
87991,0.6877630188934992,570,124759,0.7052877948685065,0.7006352903344001,0.7099635250457653,0.006596604347837584,0.006629535079549483,0.6832261183727845,0.6923225679536705,All conditions
88284,0.6903580973122087,575,124759,0.707636322830417,0.7029760659342411,0.712319805325808,0.006585666599950244,0.006618487977917649,0.6858116290487344,0.6949272240797276,All conditions
88604,0.6932182729893543,580,124759,0.7102012680447903,0.7055325590879015,0.7148932025531574,0.006573782907684735,0.006606485681564732,0.6886612065550822,0.6977980095840576,All conditions
88935,0.6958766120465253,585,124759,0.7128543832509078,0.7081769477369324,0.7175550442672542,0.006561558186181516,0.0065941391773584055,0.6913105771661792,0.7004653192766287,All conditions
89241,0.6983229514701061,590,124759,0.7153071121121523,0.7106216235811217,0.7200158261003993,0.0065503172716895,0.00658278648221904,0.6937487145798743,0.7029198623552668,All conditions
89499,0.7004330621272763,595,124759,0.7173750991912408,0.712682831583073,0.7220905922187335,0.006540884418009166,0.0065732599762787,0.6958516104253496,0.7050371907406199,All conditions
89792,0.7028624169787655,600,124759,0.7197236271531513,0.7150236726640753,0.7244468070187186,0.006530221201249929,0.006562491055420356,0.698272569921849,0.7074749453033797,All conditions
90075,0.7050805673750872,605,124759,0.7219920005771127,0.7172846334557814,0.726722593033762,0.006519971298253281,0.006552139709121409,0.7004834623128454,0.7097003537587153,All conditions
90357,0.7073973761111364,610,124759,0.7242523585472792,0.71953761656071,0.7289903258283309,0.006509805499323622,0.006541873457692574,0.702792356781921,0.7120250802299593,All conditions
90636,0.7097636115765555,615,124759,0.7264886701560609,0.7217666430769816,0.7312339224894095,0.006499794522693592,0.006531763712611384,0.705150293941623,0.7143996197791833,All conditions
90930,0.7124698035496086,620,124759,0.7288452135717663,0.7241155218513592,0.7335981305042679,0.006489295164921112,0.006521160932387151,0.7078463766982819,0.7171159337980219,All conditions
91223,0.7149091834476651,625,124759,0.7311937415336769,0.7264564235600373,0.7359542846775824,0.006478882004245715,0.006510645364551778,0.710277371204356,0.7195637036089542,All conditions
91481,0.7170886860992967,630,124759,0.7332617286127654,0.7285177055059121,0.738028976853219,0.006469754143351184,0.006501427872790537,0.7124492986012555,0.7217507864703654,All conditions
91728,0.7192683468552579,635,124759,0.7352415457001098,0.7304911121911442,0.7400152043077186,0.006461051523472059,0.006492639916128855,0.7146211170070235,0.72393829723445835,All conditions
91996,0.7215528507755788,640,124759,0.7373896873171475,0.7326323081471401,0.7421702915480279,0.006451648635494517,0.006483144954567739,0.7168976453104354,0.7262307824995385,All conditions
92249,0.7234769334773536,645,124759,0.7394175971272614,0.7346536703233507,0.7442047489565402,0.006442809614511742,0.006474219504482368,0.7188157093344683,0.7281608819511158,All conditions
92480,0.725540019088429,650,124759,0.7412691669538871,0.7364992697126365,0.7460622891882157,0.006434770868524981,0.006466102258137989,0.7208713353096498,0.7302314350442262,All conditions
92712,0.7274008677861968,655,124759,0.7431287522343077,0.7383528662100467,0.7479278632193381,0.006426727548761581,0.006457980492076602,0.7227260605902022,0.7320984084002797,All conditions
92936,0.7293885215530105,660,124759,0.744924213884369,0.7401425526927051,0.7497291000057228,0.006418990150327069,0.006450167724175507,0.7247065838174,0.7340931998531158,All conditions
93161,0.7312594781638959,665,124759,0.7467276909882253,0.7419402358494301,0.7515383710256047,0.006411246290410681,0.006442348523345769,0.72657119354719,0.7359705065832277,All conditions
93389,0.7331750789915427,670,124759,0.7485552144534663,0.7437618952477615,0.7533717585263499,0.006403427714019057,0.006434453971976152,0.7284802453715001,0.7378926602907138,All conditions
93604,0.735078930179479,675,124759,0.7502785370193733,0.7454796946556111,0.7551006042208047,0.006396081091199126,0.006427036045290603,0.7303773057336191,0.7398033089598762,All conditions
93843,0.737255605603041,680,124759,0.7521942304763585,0.747389255855481,0.7570224299022201,0.006387943999297265,0.0064188200736450705,0.7325460580812808,0.7419879166836932,All conditions
94024,0.7386707238740549,685,124759,0.7536450276132384,0.7488354140926038,0.7584778659141873,0.0063818022336940535,0.00641261883761687,0.733956673398471,0.7434075376727657,All conditions
94257,0.7406638897546275,690,124759,0.7555126283474539,0.7506970497729798,0.7603514316705896,0.006373922015052643,0.0064046623995149985,0.7359429558819659,0.7454075919200175,All conditions
94465,0.7424775730739771,695,124759,0.7571798427367965,0.7523589453612624,0.7620239648328347,0.0063669119321893295,0.006397584593020004,0.7377502837545894,0.7472276361561381,All conditions
94661,0.7440524028736869,700,124759,0.7587508716806002,0.7539249677139886,0.7636000003412676,0.006360327410131821,0.006390936526935167,0.7393199859811149,0.7488075945531663,All conditions
94854,0.7455022966494493,705,124759,0.7602978542630191,0.7554670253990945,0.7651519077950363,0.006353863603373291,0.006384410405475056,0.7407654767405372,0.7502618892694837,All conditions
95074,0.747357107538893,710,124759,0.7620612540979007,0.7572248174682169,0.7669209153661783,0.0063465195267131055,0.006376995605202787,0.7426139910624695,0.7521230005291856,All conditions
95280,0.7489500150033738,715,124759,0.7637124375796536,0.758870755921042,0.7685773438493296,0.006339665848517183,0.0063700760001943295,0.7442019221710104,0.7537208835192919,All conditions
95481,0.7506099036543737,720,124759,0.7653235437924318,0.7604767498738675,0.7701935622952857,0.006332999889885631,0.006363345989228672,0.7458562912171836,0.7553862941742682,All conditions
95677,0.7520415018959362,725,124759,0.7668945727362355,0.7620427989076574,0.7717695711230754,0.006326519969058205,0.006356803868680672,0.747283696316631,0.7568220822245967,All conditions
95886,0.7536987728613659,730,124759,0.768569802579373,0.7637127241569037,0.773450105532438,0.0063196321351276195,0.006349849989794462,0.748935673876185,0.7584846470065277,All conditions
96145,0.7557285565362931,735,124759,0.7706458051122564,0.7657821610690052,0.7755326736519438,0.006311127642539716,0.006341264050578321,0.7509590571528802,0.7605208308638521,All conditions
96334,0.7572545792338519,740,124759,0.7721607258794957,0.7672922962870754,0.7770523799435117,0.006304943296455691,0.006335020546977981,0.752480132050801,0.7620518025525915,All conditions
96506,0.7587680974297017,745,124759,0.7735393839322213,0.7686666033152783,0.7784353889982176,0.006299330994852142,0.006329354610372749,0.7539883660356579,0.7635706097853722,All conditions
96689,0.7603561839090562,750,124759,0.7750062119766911,0.7701288063271419,0.7799068420513754,0.006293376200313457,0.006323342960290648,0.7555709763974818,0.7651641768318911,All conditions
96875,0.7618393618834632,755,124759,0.7764970863825456,0.7716149843630402,0.7814024128029451,0.0062873410668538516,0.006317250259433556,0.7570494179771476,0.7666520917899683,All conditions
97064,0.7634959633647802,760,124759,0.7780120071497848,0.773125137628324,0.7829221010475796,0.006281226351973187,0.00631107727473612,0.7587002724000682,0.7683144453885244,All conditions
97246,0.7648970175105966,765,124759,0.7794708197404596,0.7745793636761087,0.7843855001575614,0.006275354946551607,0.006305149971795208,0.7600970172281589,0.7697198079189798,All conditions
97458,0.7665739886374946,770,124759,0.7811700959449819,0.7762733027222964,0.7860901134930313,0.00626853645333387,0.006298266630518715,0.761768691645543,0.7714020760099538,All conditions
97627,0.7679706126681871,775,124759,0.7825247076363229,0.7776236639490308,0.7874489756272104,0.006263116856841539,0.006292795540937817,0.7631607229784261,0.7728032947151567,All conditions
97803,0.7693654943150071,780,124759,0.7839354275042282,0.7790299612064334,0.7888641180830086,0.006257487703307426,0.00628711295070772,0.7645511991949819,0.7742025820781426,All conditions
97972,0.7708046925781824,785,124759,0.7852900391955691,0.780380329930079,0.7902229727203913,0.006252096703683443,0.0062816708204721915,0.7659855471005306,0.7756466339238338,All conditions
98140,0.7725256330396131,790,124759,0.786636635433115,0.781722711931817,0.7915737831722758,0.006246751396968034,0.0062762748603011785,0.7676998574622292,0.7773742162491979,All conditions
98320,0.7739923908851764,795,124759,0.7880794171162,0.7831609823630236,0.7930210760842968,0.006241039476927778,0.0062705088608705625,0.7691618738188203,0.7788457170304682,All conditions
98491,0.7755837778028045,800,124759,0.7894500597151308,0.7845273430960557,0.7943960005273896,0.006235627648000321,0.006265045839686757,0.7707475261545969,0.7804428457232565,All conditions
98662,0.7771255498672784,805,124759,0.7908207023140615,0.7858937075445698,0.7957709212550564,0.006230229880268221,0.006259597057221449,0.7722838790457754,0.7819900426723193,All conditions
98816,0.7783602291161386,810,124759,0.7920550821984786,0.7871242377635592,0.7970091507854246,0.006225380716241422,0.006254702101266853,0.7735146403555097,0.7832286404767338,All conditions
