NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Comorbidities
13763,0.5459991272265641,290,25207,0.5459991272265641,0.5369148984531406,0.5551985085073319,0.016637808231612778,0.01684871059684037,0.5369148984531406,0.5551985085073319,Yes
13985,0.5548062046256992,295,25207,0.5548062046256992,0.5456487009469154,0.5640788581773565,0.01650577012735805,0.01671331984816771,0.5456487009469154,0.5640788581773565,Yes
14217,0.5640099972229936,300,25207,0.5640099972229936,0.5547765368035701,0.5733586048283034,0.01637109353537376,0.016575251593658507,0.5547765368035701,0.5733586048283034,Yes
14465,0.5738485341373428,305,25207,0.5738485341373428,0.5645345607947063,0.5832776518652999,0.016230717320970506,0.01643137024325018,0.5645345607947063,0.5832776518652999,Yes
14683,0.5824969254572143,310,25207,0.5824969254572143,0.5731127468502287,0.5919962460465147,0.016110262899018308,0.01630793258152246,0.5731127468502287,0.5919962460465147,Yes
14879,0.5902725433411354,315,25207,0.5902725433411354,0.5808256880454084,0.5998345385038828,0.016004226187202947,0.016199288397565206,0.5808256880454084,0.5998345385038828,Yes
15067,0.5977307890665291,320,25207,0.5977307890665291,0.5882242020482915,0.6073525139617076,0.01590446266467876,0.016097087637403962,0.5882242020482915,0.6073525139617076,Yes
15267,0.6056650930297139,325,25207,0.6056650930297139,0.5960953693022266,0.6153499525574893,0.01580035540700681,0.015990453534855068,0.5960953693022266,0.6153499525574893,Yes
15452,0.61300432419566,330,25207,0.61300432419566,0.6033765661940131,0.6227472161126703,0.015705856584747074,0.01589367567642234,0.6033765661940131,0.6227472161126703,Yes
15632,0.6201451977625263,335,25207,0.6201451977625263,0.6104613065037059,0.6299442211349161,0.015615522451451258,0.015801175930644177,0.6104613065037059,0.6299442211349161,Yes
15829,0.6279604871662633,340,25207,0.6279604871662633,0.6182155303350731,0.6378205741743648,0.015518423579746666,0.015701763422402808,0.6182155303350731,0.6378205741743648,Yes
16001,0.6347839885746023,345,25207,0.6347839885746023,0.6249860256224015,0.6446970800421311,0.015435113563910122,0.015616480008874403,0.6249860256224015,0.6446970800421311,Yes
16174,0.6416471615027571,350,25207,0.6416471615027571,0.6317961708640277,0.6516132790123593,0.015352659888119955,0.015532083842249439,0.6317961708640277,0.6516132790123593,Yes
16345,0.6484309913912802,355,25207,0.6484309913912802,0.6385278640834997,0.6584492439701948,0.0152724460108427,0.01544999037973072,0.6385278640834997,0.6584492439701948,Yes
16493,0.654302376324037,360,25207,0.654302376324037,0.644354344635993,0.6643655319187637,0.015204028057995875,0.01537997714644249,0.644354344635993,0.6643655319187637,Yes
16646,0.6603721188558733,365,25207,0.6603721188558733,0.6503778770468303,0.6704814831802106,0.015134257676351596,0.015308587439839604,0.6503778770468303,0.6704814831802106,Yes
16837,0.6679493791407148,370,25207,0.6679493791407148,0.6578977472099105,0.6781161318765186,0.015048493560597856,0.015220843155633818,0.6578977472099105,0.6781161318765186,Yes
17003,0.6745348514301583,375,25207,0.6745348514301583,0.6644336050258358,0.6847512171764965,0.014975128983929773,0.015145793763920758,0.6644336050258358,0.6847512171764965,Yes
17151,0.6804062363629151,380,25207,0.6804062363629151,0.6702609592071584,0.6906666315742779,0.014910617530473883,0.015079807713417406,0.6702609592071584,0.6906666315742779,Yes
17302,0.6863966358551196,385,25207,0.6863966358551196,0.6762066307900886,0.6967017576803073,0.014845651235362155,0.015013362955005605,0.6762066307900886,0.6967017576803073,Yes
17441,0.6919109771095331,390,25207,0.6919109771095331,0.6816799708864701,0.7022570989151438,0.014786593306848669,0.01495296670798855,0.6816799708864701,0.7022570989151438,Yes
17558,0.6965525449279962,395,25207,0.6965525449279962,0.6862871534105629,0.7069330510476034,0.014737425901580017,0.014902689244614301,0.6862871534105629,0.7069330510476034,Yes
17694,0.7019478716229619,400,25207,0.7019478716229619,0.6916426545432356,0.7123682021775166,0.014680886567687419,0.014844878054066951,0.6916426545432356,0.7123682021775166,Yes
17807,0.7064307533621613,405,25207,0.7064307533621613,0.6960925621964696,0.7168840570758233,0.014634401342932002,0.014797350856981879,0.6960925621964696,0.7168840570758233,Yes
17928,0.7112310072598881,410,25207,0.7112310072598881,0.7008576233485089,0.7217195027364859,0.014585112017745188,0.01474696036806118,0.7008576233485089,0.7217195027364859,Yes
18046,0.7159122465981672,415,25207,0.7159122465981672,0.7055046566889549,0.7264349471237403,0.014537521824310912,0.014698310547939823,0.7055046566889549,0.7264349471237403,Yes
18157,0.7203157852977348,420,25207,0.7203157852977348,0.7098761204942631,0.7308705598334485,0.014493177876362338,0.014652982415692914,0.7098761204942631,0.7308705598334485,Yes
18274,0.7249573531161979,425,25207,0.7249573531161979,0.7144839855978132,0.7355458294436434,0.01444687397591784,0.014605654087004457,0.7144839855978132,0.7355458294436434,Yes
18381,0.7292022057365017,430,25207,0.7292022057365017,0.7186981104068295,0.7398214090386807,0.014404914366739992,0.0145627690353095,0.7186981104068295,0.7398214090386807,Yes
18481,0.7331693577180942,435,25207,0.7331693577180942,0.7226366255585663,0.7438171970748747,0.014366028869932324,0.014523028335391252,0.7226366255585663,0.7438171970748747,Yes
18597,0.7377712540167414,440,25207,0.7377712540167414,0.7272054000255477,0.7484522143137332,0.014321314274131285,0.014477333236880854,0.7272054000255477,0.7484522143137332,Yes
18689,0.7414210338398064,445,25207,0.7414210338398064,0.7308289841959109,0.7521281890883897,0.01428614668380724,0.014441396669219347,0.7308289841959109,0.7521281890883897,Yes
18783,0.7451501567025033,450,25207,0.7451501567025033,0.7345314084448716,0.7558840098537941,0.014250481144126123,0.014404953222839158,0.7345314084448716,0.7558840098537941,Yes
18866,0.748442892847225,455,25207,0.748442892847225,0.7378006257669133,0.7592002641977924,0.014219210553027491,0.014373002206814006,0.7378006257669133,0.7592002641977924,Yes
