NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Comorbidities
17182,0.6816360534772087,210,25207,0.6816360534772087,0.6714815777581945,0.6919056469844844,0.014897210420742078,0.015066094956227427,0.6714815777581945,0.6919056469844844,Yes
18113,0.7185702384258341,215,25207,0.7185702384258341,0.7081432762333757,0.7291123107000245,0.014510707005206175,0.014670900227213391,0.7081432762333757,0.7291123107000245,Yes
19110,0.7581227436823105,220,25207,0.7581227436823105,0.7474116349339142,0.768948954891869,0.014128462491932281,0.014280288119274799,0.7474116349339142,0.768948954891869,Yes
20099,0.7973578767802595,225,25207,0.7973578767802595,0.7863721356008464,0.8084587134284021,0.013777679382529764,0.013922025443541064,0.7863721356008464,0.8084587134284021,Yes
21082,0.8363549807593129,230,25207,0.8363549807593129,0.8251028913684436,0.8477221591620384,0.013453724375089769,0.013591332226425463,0.8251028913684436,0.8477221591620384,Yes
22144,0.8784861348038243,235,25207,0.8784861348038243,0.8669531798757404,0.8901341722566602,0.013128215086353484,0.013259216043787728,0.8669531798757404,0.8901341722566602,Yes
23186,0.9198238584520173,240,25207,0.9198238584520173,0.9080218013818112,0.9317409921200092,0.012830779460393559,0.012955886671658355,0.9080218013818112,0.9317409921200092,Yes
24278,0.9631451580910064,245,25207,0.9631451580910064,0.9510674987821593,0.9753378882001712,0.012539812101413143,0.012659286096948531,0.9510674987821593,0.9753378882001712,Yes
25252,1.0017852183917166,250,25207,1.0017852183917166,0.9894669238297458,1.0142185789033884,0.012296342904466958,0.012411203802380411,0.9894669238297458,1.0142185789033884,Yes
26395,1.0471297655413179,255,25207,1.0471297655413179,1.034534927339687,1.059839664346227,0.012027963119852499,0.012137845015167336,1.034534927339687,1.059839664346227,Yes
27466,1.0896179632641727,260,25207,1.0896179632641727,1.076769386150966,1.1025815962768135,0.011791818367894943,0.01189741124843941,1.076769386150966,1.1025815962768135,Yes
28592,1.1342880945769032,265,25207,1.1342880945769032,1.1211780276462457,1.1475132127492667,0.011557969261369667,0.011659399614254566,1.1211780276462457,1.1475132127492667,Yes
29750,1.1802277145237434,270,25207,1.1802277145237434,1.1668540432719046,1.1937164325055827,0.011331432983028642,0.011428911400612512,1.1668540432719046,1.1937164325055827,Yes
30993,1.2295394136549371,275,25207,1.2295394136549371,1.215888436619899,1.2433054328611595,0.011102512764889058,0.011196078021851592,1.215888436619899,1.2433054328611595,Yes
32243,1.2791288134248424,280,25207,1.2791288134248424,1.265204522209499,1.293168142495233,0.010885761519249516,0.01097569605425477,1.265204522209499,1.293168142495233,Yes
33359,1.3234022295394137,285,25207,1.3234022295394137,1.3092383672084045,1.3376811260787245,0.010702613321075232,0.010789536408957325,1.3092383672084045,1.3376811260787245,Yes
34489,1.3682310469314078,290,25207,1.3682310469314078,1.3538286573353409,1.382748467225043,0.01052628474435503,0.01061035731223464,1.3538286573353409,1.382748467225043,Yes
35684,1.4156385131114373,295,25207,1.4156385131114373,1.4009880892729387,1.4304039641176847,0.010348986484055417,0.010430241102860598,1.4009880892729387,1.4304039641176847,Yes
36823,1.4608243741817748,300,25207,1.4608243741817748,1.4459413768950782,1.475822395432959,0.010188081161387223,0.010266820239486203,1.4459413768950782,1.475822395432959,Yes
37917,1.504225016860396,305,25207,1.504225016860396,1.4891219979553953,1.5194430567900206,0.010040398700803034,0.010116864005750695,1.4891219979553953,1.5194430567900206,Yes
39085,1.5505613520053954,310,25207,1.5505613520053954,1.5352269043826348,1.5660108176512477,0.00988961036783744,0.009963788679416672,1.5352269043826348,1.5660108176512477,Yes
40274,1.597730789066529,315,25207,1.597730789066529,1.5821642768757211,1.6134123163599867,0.00974288803679039,0.00981487457134097,1.5821642768757211,1.6134123163599867,Yes
41363,1.6409330741460706,320,25207,1.6409330741460706,1.625157002682013,1.6568241581491532,0.009614085859209903,0.009684175578795126,1.625157002682013,1.6568241581491532,Yes
42491,1.685682548498433,325,25207,1.685682548498433,1.6696923014952008,1.7017878054898137,0.009485918340600965,0.0095541458892879,1.6696923014952008,1.7017878054898137,Yes
43592,1.7293608918157655,330,25207,1.7293608918157655,1.7131643205427132,1.7456724706832074,0.009365639844004157,0.009432142790227773,1.7131643205427132,1.7456724706832074,Yes
44710,1.7737136509699687,335,25207,1.7737136509699687,1.7573102189788306,1.7902320882157883,0.009248072247833127,0.009312910929442501,1.7573102189788306,1.7902320882157883,Yes
45890,1.820526044352759,340,25207,1.820526044352759,1.8039070664013903,1.837260025182651,0.009128668058839688,0.00919183819522955,1.8039070664013903,1.837260025182651,Yes
47025,1.8655532193438331,345,25207,1.8655532193438331,1.8487295150177945,1.8824919243477265,0.00901807793612878,0.009079722212294323,1.8487295150177945,1.8824919243477265,Yes
48123,1.9091125481017177,350,25207,1.9091125481017177,1.892093129516727,1.9262469653101275,0.008914832497389247,0.008975069188795086,1.892093129516727,1.9262469653101275,Yes
49217,1.9525131907803388,355,25207,1.9525131907803388,1.9353009792134754,1.9698403989924007,0.008815413718144642,0.008874310449670733,1.9353009792134754,1.9698403989924007,Yes
50283,1.994803030904114,360,25207,1.994803030904114,1.9774050112593915,2.012316045328859,0.008721672954766443,0.008779320140098022,1.9774050112593915,2.012316045328859,Yes
51369,2.0378863014242077,365,25207,2.0378863014242077,2.0203010020658283,2.055586593722435,0.00862918571369248,0.008685613267951864,2.0203010020658283,2.055586593722435,Yes
52664,2.089260919585829,370,25207,2.089260919585829,2.0714548679049654,2.1071819620870422,0.008522655793702223,0.008577694788243922,2.0714548679049654,2.1071819620870422,Yes
53868,2.137025429444202,375,25207,2.137025429444202,2.119016559982814,2.155149287824311,0.008427073077025364,0.008480881008899618,2.119016559982814,2.155149287824311,Yes
55086,2.1853453405799974,380,25207,2.1853453405799974,2.16713358837359,2.2036720798451515,0.008333580907434019,0.008386198247408381,2.16713358837359,2.2036720798451515,Yes
56265,2.2321180624429724,385,25207,2.2321180624429724,2.2137120493150824,2.250639060887002,0.008245985477912094,0.008297499471761456,2.2137120493150824,2.250639060887002,Yes
57397,2.277026222874598,390,25207,2.277026222874598,2.258435599090956,2.295731830352003,0.008164431132537736,0.008214928440213745,2.258435599090956,2.295731830352003,Yes
