NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
39700,0.3000941789364893,180,124759,0.318213515658189,0.3150909189472226,0.32135935093966567,0.00981289781016274,0.009885926042361378,0.29714938542516084,0.30306088779519863,All conditions
42631,0.3225599320225471,185,124759,0.34170681073108955,0.33847072206219625,0.34496613659304476,0.009470366311896489,0.009538369618626584,0.31950517130875317,0.32563662787833725,All conditions
45674,0.3454458134425085,190,124759,0.36609783662902073,0.3627479758356987,0.3694709333279624,0.009150179154750328,0.009213648269546371,0.34228492236125113,0.34862862966375513,All conditions
48452,0.366288116483707,195,124759,0.38836476727129904,0.38491430907776203,0.3918384603026209,0.008884580900014113,0.008944408257547278,0.3630338000800937,0.36956434693742535,All conditions
51419,0.38847983000462855,200,124759,0.4121466186808166,0.40859185485873134,0.415724616297134,0.008624998146201476,0.008681370789282964,0.38512919219100195,0.39185236745305635,All conditions
54489,0.4111349298627167,205,124759,0.43675406183121057,0.43309449311885007,0.44043686334900983,0.008379014718298819,0.008432208969867643,0.40769002423419026,0.414601705506131,All conditions
57633,0.43459264834932554,210,124759,0.46195464856242835,0.4581907660652892,0.46574176293538316,0.008147731620088914,0.00819802200224645,0.43105170408651156,0.43815544844250787,All conditions
60747,0.45741997132533185,215,124759,0.48691477167979863,0.4830503399259618,0.4908024344607593,0.00793656709264538,0.007984277756759493,0.45378962703339243,0.4610721394278823,All conditions
64153,0.48339589279752315,220,124759,0.5142154073052846,0.5102439060889934,0.5182101386921012,0.0077234193294666385,0.007768595281403102,0.479662423615306,0.4871511998493596,All conditions
67631,0.5097986067810324,225,124759,0.5420931556040045,0.5380152161092733,0.5461943244621896,0.007522580671928163,0.007565431911080979,0.5059636056350855,0.5136554534289982,All conditions
71056,0.5351119283100584,230,124759,0.5695460848515939,0.5653659720213376,0.5737494263091445,0.007339375937147245,0.007380160393247013,0.5311845406997391,0.5390611401693263,All conditions
74636,0.5620707448915766,235,124759,0.5982414094373953,0.5939570985335466,0.6025489482538707,0.007161508441680474,0.007200335430685631,0.558045470507214,0.5661178427905713,All conditions
78333,0.5894547233082825,240,124759,0.627874542117202,0.6234852186745815,0.6322870927864485,0.006990765110207494,0.00702775853017917,0.5853339837945319,0.5935972687681668,All conditions
82021,0.6168901452040251,245,124759,0.6574355357128544,0.6529438967735401,0.661950401241197,0.006832059867959516,0.006867388942471938,0.6126755148000369,0.6211265697659191,All conditions
85622,0.6436207801363698,250,124759,0.6862991848283491,0.6817098408138849,0.6909117548494544,0.0066870894151098955,0.006720931807982596,0.6393168304301751,0.6479465115098669,All conditions
89564,0.6728235291861869,255,124759,0.7178961036879102,0.7132021297142171,0.7226133030714078,0.00653851434710348,0.006570866395937806,0.6684242628875342,0.6772445627045127,All conditions
93521,0.7024738471768194,260,124759,0.7496132543543953,0.7448165434340633,0.7544331901237763,0.006398914230062711,0.006429896671894059,0.6979787772798727,0.7069906814288742,All conditions
97316,0.7304777485507127,265,124759,0.7800319015061038,0.775138682529749,0.7849483448261566,0.006273101096130569,0.0063028746780228176,0.7258953877855802,0.7350818582549121,All conditions
101209,0.7593388947572175,270,124759,0.8112360631297141,0.8062457799105902,0.8162495702039493,0.0061514563342654795,0.006180084074286966,0.7546678547032091,0.7640316729676933,All conditions
105592,0.7920790396843561,275,124759,0.8463677971128335,0.8412704406107132,0.8514883769526396,0.006022625765664301,0.006050064590445922,0.7873086440515105,0.7968711690351848,All conditions
110231,0.8265447559035561,280,124759,0.8835514872674517,0.8783431974082213,0.8887829999506851,0.0058947213991320385,0.005921004897420115,0.8216725048435911,0.831438731451198,All conditions
114206,0.8563917184619142,285,124759,0.9154129161022452,0.9101114149606001,0.9207376396528634,0.005791376818472737,0.005816745052375314,0.8514320313160818,0.8613731307531727,All conditions
118242,0.886907065585478,290,124759,0.9477632876185286,0.9423687900732319,0.9531810071729923,0.005691819482532969,0.005716321390836884,0.8818589506703824,0.8919769114161686,All conditions
122419,0.9181906609180724,295,124759,0.9812438381198951,0.9757547518224087,0.9867561460337693,0.005594008425065658,0.005617673915217601,0.9130542946250801,0.9233487566431083,All conditions
126410,0.9476935923516833,300,124759,1.0132335142154074,1.0076555473724467,1.0188347023177975,0.0055051148276318304,0.005528032801725207,0.9424764303043763,0.9529324736161882,All conditions
130464,0.9781130717573978,305,124759,1.0457281638999991,1.040061338614488,1.0514182100992444,0.005419023299876544,0.005441228796998738,0.9728126542316307,0.9834352087701651,All conditions
134651,1.009541534161705,310,124759,1.079288868939315,1.0735317076557014,1.0850692507961393,0.005334217232566766,0.005355731929770595,1.0041564203131876,1.0149483679906444,All conditions
138890,1.0412970514171476,315,124759,1.1132663775759664,1.1074191781086178,1.119136797287577,0.0052522914417664395,0.005273149202972348,1.0358278558256526,1.0467879661338853,All conditions
142721,1.070434387028428,320,124759,1.143973581064292,1.1380461844588958,1.1499241976293562,0.005181410395755435,0.005201708032040479,1.064888027167505,1.0760024741772063,All conditions
146748,1.1002919036607253,325,124759,1.176251813496421,1.1702412687436285,1.1822855779218209,0.005109913271824078,0.005129653664434654,1.0946695074593287,1.1059360200562862,All conditions
150814,1.1304625428862007,330,124759,1.208842648626552,1.202749300078965,1.214959216568648,0.005040646567615715,0.0050598545220467495,1.1247642807495832,1.1361825188958279,All conditions
154832,1.1597683415426105,335,124759,1.2410487419745269,1.2348746566490283,1.2472460464305495,0.004974893504726904,0.004993602786432562,1.1539986175532824,1.165559763964554,All conditions
158856,1.1900230423128448,340,124759,1.2733029280452712,1.2670490286596279,1.279580046307159,0.004911556588693406,0.004929791743685149,1.1841781767986763,1.1958896080816337,All conditions
162871,1.2201158078043652,345,124759,1.3054849750318613,1.2991524414060585,1.311840727289647,0.004850713525560363,0.004868498971143358,1.2141973755526987,1.2260559403593365,All conditions
166871,1.2503200005416917,350,124759,1.337546790211528,1.331136874169674,1.343979924650833,0.00479229294164738,0.004809651883870006,1.2443281008282951,1.2563336044877373,All conditions
170648,1.278726886491583,355,124759,1.3678211591949279,1.3613390217196302,1.3743265148538317,0.0047390241273303196,0.00475599870288071,1.2726669689242334,1.2848085099050757,All conditions
174540,1.3080638578158021,360,124759,1.3990173053647432,1.3924615788190333,1.4055962498810037,0.0046859510033013755,0.004702546917062822,1.3019343346688879,1.3142150894776952,All conditions
178447,1.3379393704141518,365,124759,1.4303336833414824,1.423704904792448,1.4369856796542386,0.004634428054262535,0.00465066046491764,1.331738786661002,1.3441616721485936,All conditions
183373,1.3754673581384602,370,124759,1.4698178087352416,1.4630980557015165,1.4765607792813944,0.004571827197758156,0.004587623381672753,1.3691789590608943,1.381777484351384,All conditions
187619,1.408244517679013,375,124759,1.5038514255484574,1.4970542323546683,1.5106718360460578,0.004519856867715627,0.004535295429941151,1.4018794540243587,1.4146313226042824,All conditions
192127,1.4423645984909232,380,124759,1.5399850912559414,1.5331066325339437,1.546886767067873,0.0044665748785839895,0.004481651056961131,1.4359221690095447,1.4488287733182734,All conditions
196278,1.4736593674369975,385,124759,1.5732572399586402,1.5663047904010008,1.580232906415824,0.004419143532955984,0.004433900750628183,1.4671470551736083,1.4801934268124468,All conditions
200088,1.5027565208261824,390,124759,1.6037961189172725,1.5967764424426696,1.6108390121219103,0.004376913244647263,0.004391389355270718,1.4961790859066981,1.509355709815302,All conditions
203999,1.532399699797607,395,124759,1.6351445587091913,1.6280565356434589,1.6422557983359172,0.004334799041454668,0.0043489975175892755,1.525757055047799,1.5390641022879814,All conditions
207966,1.562333649570624,400,124759,1.6669418639136255,1.6597851816908606,1.6741217625308162,0.004293300430983548,0.004307227967947141,1.5556260818395822,1.5690629767613193,All conditions
211718,1.5911199568094971,405,124759,1.6970158465521525,1.689794826359684,1.7042600829858332,0.004255128322543093,0.0042688089497802065,1.5843495372167136,1.5979121439212993,All conditions
215491,1.6192141070387944,410,124759,1.7272581537203728,1.7199730078116184,1.7345665157203205,0.004217751638956105,0.004231192647263555,1.6123846640850108,1.6260653138628425,All conditions
219341,1.6481072440405087,415,124759,1.7581176508308018,1.7507676466132722,1.7654908709904507,0.004180609991633021,0.0041938149908025656,1.6412171504287902,1.655019100907016,All conditions
223076,1.6768302969385227,420,124759,1.7880553707548152,1.7806429873155223,1.7954909699953099,0.0041454999439776135,0.004158483770754679,1.669878997036504,1.6838033685146514,All conditions
226720,1.704332271230644,425,124759,1.8172636843834913,1.8097909428505932,1.8247596415834761,0.00411208433708026,0.00412485940504989,1.6973239131929359,1.7113624022289597,All conditions
230388,1.7318369755225498,430,124759,1.8466643689032454,1.8391313596469765,1.854220593694828,0.004079251965392505,0.004091823570555111,1.72477237613641,1.738923346879352,All conditions
234163,1.7604408368659132,435,124759,1.8769227069790557,1.8693281707974023,1.884540458563651,0.004046270074635602,0.004058638939296618,1.7533176177895362,1.7675858305967451,All conditions
237801,1.7879886107052083,440,124759,1.9060829278849623,1.898429565224554,1.9137595058237384,0.004015230685110141,0.004027410259266269,1.7808094239708774,1.7951895743794137,All conditions
241380,1.8151767267475472,445,124759,1.9347702370169688,1.9270594393997176,1.9425042497927922,0.00398538155576538,0.003997380478494298,1.807942554900313,1.8224326787600649,All conditions
244902,1.8420841855917318,450,124759,1.963000665282665,1.9552337616448028,1.9707907839637842,0.003956648500036982,0.0039684748043615,1.8347957059618685,1.8493944502697655,All conditions
248539,1.8697110047500372,455,124759,1.9921528707347766,1.9843284509218893,2.000000505474422,0.003927620178064684,0.003939273363469712,1.8623674900806313,1.8770763075084351,All conditions
252568,1.9007481756092972,460,124759,2.024447134074496,2.0165594880876214,2.0323579948620214,0.003896197561355615,0.003907664791228112,1.8933424852027372,1.9081756623321167,All conditions
256552,1.9308635968913865,465,124759,2.0563807019934432,2.04843102998402,2.064353588681752,0.0038658561625854776,0.0038771452584532504,1.923399155956232,1.938349835530794,All conditions
260523,1.9603996547746152,470,124759,2.088210069013057,2.080199050802544,2.0962443017838766,0.0038363085828331087,0.0038474255488177836,1.9528789567532203,1.9679421464922886,All conditions
264108,1.987711237560701,475,124759,2.116945470867833,2.1088794699559315,2.1250346862352925,0.0038102072173804968,0.003821173232271918,1.9801376458572788,1.995306626535154,All conditions
267516,2.013533482606458,480,124759,2.1442621374009088,2.136144213357278,2.1524032758024796,0.0037858822865149914,0.0037967085551577273,2.0059104818613536,2.0211782824059665,All conditions
270973,2.039676931283284,485,124759,2.1719715611699355,2.1638013042568236,2.180165032343853,0.003761677666125143,0.003772365771448743,2.032004324124765,2.0473713387236705,All conditions
274514,2.0666700732667658,490,124759,2.2003542830577354,2.192130766610951,2.208601013667739,0.0037373601651806186,0.003747910358573569,2.0589461828603675,2.074415767442116,All conditions
277898,2.0922977807528484,495,124759,2.227478578699733,2.219204484190839,2.2357758872803344,0.003714556264655112,0.0037249779458910703,2.084525822923829,2.1000915438423897,All conditions
281400,2.119178178757602,500,124759,2.255548697889531,2.247222584861905,2.2638980248959046,0.0036913913831329685,0.0037016833261838957,2.111355462689213,2.127022705287122,All conditions
284810,2.1447601613545904,505,124759,2.2828813953301967,2.274504940481359,2.291281064068917,0.003669246622261028,0.003679415302039943,2.13689050737698,2.152651624711484,All conditions
288242,2.169925563468335,510,124759,2.3103904327543505,2.301963614678342,2.3188404646323995,0.003647356722284473,0.0036574042890123826,2.162011070877562,2.177861858531002,All conditions
291559,2.1950630278778025,515,124759,2.3369776929920887,2.3285024834134678,2.34547611628933,0.003626568453792085,0.003636501675957556,2.1871024815468156,2.203045378257513,All conditions
294858,2.219886500840022,520,124759,2.3634206750615188,2.3548976088547997,2.37196695490529,0.003606241705784013,0.0036160637562116416,2.211881053558586,2.227913751958613,All conditions
298227,2.2454220088459427,525,124759,2.3904247388965927,2.3818530761185635,2.3990196152297765,0.003585832525305049,0.0035955435840875445,2.2373703015735873,2.253495521543418,All conditions
301531,2.2707807448076975,530,124759,2.416907798234997,2.4082887423701287,2.425550067576039,0.0035661500497298593,0.0035757546677424646,2.262682799941676,2.2789004996553635,All conditions
304875,2.295925062430847,535,124759,2.4437114757251983,2.4350447166608484,2.4524014481870946,0.003546555782236087,0.0035560550204960036,2.2877824361251022,2.304089498275787,All conditions
308170,2.320855188560928,540,124759,2.4701223959794483,2.461408887934821,2.478859117345403,0.0035275612491146966,0.003536958889233728,2.312668229732954,2.329063957950733,All conditions
311334,2.3455972770128755,545,124759,2.4954832917865644,2.4867251280149025,2.504264668807506,0.0035096062556250153,0.003518908361295719,2.337365154136294,2.3538512188831886,All conditions
